,source,text,date,retweet_count,favorite_count,id_str,time
15840,Twitter for iPhone,"“President Trump would need a magic wand to get to 4% GDP,” stated President Obama. I guess I have a magic wand, 4.2%, and we will do MUCH better than this! We have just begun.",2018-09-10,42135,152901,1039162221492928512,14:42:34.000000
15878,Twitter for iPhone,"The Wall Street Journal has it wrong, we are under no pressure to make a deal with China, they are under pressure to make a deal with us. Our markets are surging, theirs are collapsing. We will soon be taking in Billions in Tariffs &amp; making products at home. If we meet, we meet?",2018-09-13,23038,87737,1040242677877551104,14:15:55.000000
15911,Twitter for iPhone,"“A lot of small &amp; medium size enterprises are registering very good profit, sometimes record profits-there stocks are doing very well, low income workers are getting big raises. There are an awful lot of good things going on that weren’t during Pres. Obama’s Watch.” Peter Morici",2018-09-17,14721,61799,1041628201435521024,10:01:30.000000
15949,Twitter for iPhone,S&amp;P 500 HITS ALL-TIME HIGH  Congratulations USA!,2018-09-20,20109,89709,1042768904857247744,13:34:15.000000
16010,Twitter for iPhone,"China is actually placing propaganda ads in the Des Moines Register and other papers, made to look like news. That’s because we are beating them on Trade, opening markets, and the farmers will make a fortune when this is over! https://t.co/ppdvTX7oz1",2018-09-26,19303,59948,1045001780092956672,17:26:54.000000
16025,Twitter for iPhone,".....deficiencies and mistakes in NAFTA, greatly opens markets to our Farmers and Manufacturers, reduce Trade Barriers to the U.S. and will bring all three Great Nations closer together in competition with the rest of the world. The USMCA is a historic transaction!",2018-10-01,1921,6809,1046711423227842560,10:40:24.000000
16026,Twitter for iPhone,"....deficiencies and mistakes in NAFTA, greatly opens markets to our Farmers and Manufacturers, reduces Trade Barriers to the U.S. and will bring all three Great Nations together in competition with the rest of the world. The USMCA is a historic transaction!",2018-10-01,18158,79307,1046714711268622336,10:53:28.000000
16336,Twitter for iPhone,"“If the Fed backs off and starts talking a little more Dovish, I think we’re going to be right back to our 2,800 to 2,900 target range that we’ve had for the S&amp;P 500.” Scott Wren, Wells Fargo.",2018-10-30,14921,61386,1057254051254013952,12:53:03.000000
16419,Twitter for iPhone,Republicans have created the best economy in the HISTORY of our Country – and the hottest jobs market on planet earth. The Democrat Agenda is a Socialist Nightmare. The Republican Agenda is the AMERICAN DREAM! https://t.co/0pWiwCHGbh https://t.co/JfdM1p5xxY,2018-11-05,13206,44652,1059561007520116736,21:40:04.000000
16688,Twitter for iPhone,"The idea of a European Military didn’t work out too well in W.W. I or 2. But the U.S. was there for you, and always will be. All we ask is that you pay your fair share of NATO. Germany is paying 1% while the U.S. pays 4.3% of a much larger GDP - to protect Europe. Fairness!",2018-12-08,24304,97365,1071387078901030912,12:52:39.000000
16767,Twitter for iPhone,"I hope the people over at the Fed will read today’s Wall Street Journal Editorial before they make yet another mistake. Also, don’t let the market become any more illiquid than it already is. Stop with the 50 B’s. Feel the market, don’t just go by meaningless numbers. Good luck!",2018-12-18,16500,70330,1075001077576151040,12:13:24.000000
16885,Twitter for iPhone,"2018 is being called “THE YEAR OF THE WORKER” by Steve Moore, co-author of “Trumponomics.” It was indeed a great year for the American Worker with the “best job market in 50 years, and the lowest unemployment rate ever for blacks and Hispanics and all workers. Big wage gains.”",2018-12-29,25797,109238,1079121410935660544,21:06:08.000000
16973,Twitter for iPhone,"Economic numbers looking REALLY good. Can you imagine if I had long term ZERO interest rates to play with like the past administration, rather than the rapidly raised normalized rates we have today. That would have been SO EASY! Still, markets up BIG since 2016 Election!",2019-01-08,25174,123878,1082623264877432832,13:01:15.000000
