,source,text,date,retweet_count,favorite_count,id_str,time
13256,Twitter for iPhone,"The Democrats want MASSIVE tax increases &amp; soft, crime producing borders.The Republicans want the biggest tax cut in history &amp; the WALL!",2017-10-11,19401,84312,918062778522505216,10:36:37.000000
13263,Twitter for iPhone,"We need a tax system that is FAIR to working families &amp; that encourages companies to STAY in America, GROW in America, and HIRE in America🇺🇸 https://t.co/u9ZgijgLE3",2017-10-11,12276,56587,918257107182473216,23:28:49.000000
13267,Twitter for iPhone,Clips from tax speech and @seanhannity on @foxandfriends now. Have a great day!,2017-10-12,6731,37718,918417002733154304,10:04:11.000000
13273,Media Studio,"We need a tax system that is FAIR to working FAMILIES &amp; that encourages companies to STAY in AMERICA, GROW in AMERICA, and HIRE in AMERICA! https://t.co/DdI1yWi7YZ",2017-10-12,15614,68294,918541193037967360,18:17:40.000000
13297,Twitter for iPhone,Art Laffer just said that he doesn't know how a Democrat could vote against the big tax cut/reform bill and live with themselves!  @FoxNews,2017-10-16,12938,58127,919900022409449472,12:17:10.000000
13298,Twitter for iPhone,The Democrats only want to increase taxes and obstruct. That's all they are good at!,2017-10-16,12973,57644,919901190376259584,12:21:49.000000
13321,Media Studio,The current tax code is a burden on American taxpayers &amp; harmful to job-creators. Americans need #TaxReform! More: https://t.co/qXyiYiFWCO https://t.co/NGIjJOc3TP,2017-10-18,10590,43710,920667567030710272,15:07:07.000000
13330,Twitter for iPhone,"Republicans are going for the big Budget approval today, first step toward massive tax cuts. I think we have the votes, but who knows?",2017-10-19,13566,72482,920966294035451904,10:54:09.000000
13338,Twitter for iPhone,Great news on the 2018 budget @SenateMajLdr McConnell - first step toward delivering MASSIVE tax cuts for the American people! #TaxReform https://t.co/aBzQR7KR0c,2017-10-20,13058,55053,921242760685998080,05:12:44.000000
13344,Media Studio,This is a once-in-a-generation opportunity to offer historic tax relief to the American people! Join me today: https://t.co/9czcJDbmVW https://t.co/s3kXpvbYih,2017-10-20,16056,64941,921483820288921600,21:10:37.000000
13346,Twitter for iPhone,"Budget that just passed is a really big deal, especially in terms of what will be the biggest tax cut in U.S. history - MSM barely covered!",2017-10-21,15668,71126,921705862992887808,11:52:56.000000
13362,Twitter for iPhone,"There will be NO change to your 401(k). This has always been a great and popular middle class tax break that works, and it stays!",2017-10-23,25159,118075,922428118685581312,11:42:56.000000
13377,Twitter for iPhone,"Working hard on the biggest tax cut in U.S. history. Great support from so many sides. Big winners will be the middle class, business &amp; JOBS",2017-10-25,19051,95816,923150966551171072,11:35:16.000000
